,CD_OSCAR,DC_NOME,FL_CAPITAL,DT_FIM_OPERACAO,CD_SITUACAO,TP_ESTACAO,VL_LATITUDE,CD_WSI,CD_DISTRITO,VL_ALTITUDE,SG_ESTADO,SG_ENTIDADE,CD_ESTACAO,VL_LONGITUDE,DT_INICIO_OPERACAO,geometry,bacia
57,0-2000-0-86867,BARRA BONITA,,,Operante,Automatica,-22.4711111,0-76-0-3505302000000348, 07,533.68,SP,INMET,A741,-48.5575,2008-04-23T21:00:00.000-03:00,POINT (-48.5575 -22.4711111),Barra Bonita-Promissão
64,0-2000-0-86865,BAURU,N,,Operante,Automatica,-22.358052,0-76-0-3506003000000010, 07,636.17,SP,INMET,A705,-49.028877,2001-08-29T21:00:00.000-03:00,POINT (-49.028877 -22.358052),Barra Bonita-Promissão
245,0-2000-0-86843,IBITINGA,N,,Pane,Automatica,-21.85555555,0-76-0-3519600000000267, 07,496.75,SP,INMET,A737,-48.79972221,2007-11-08T21:00:00.000-03:00,POINT (-48.79972221 -21.85555555),Barra Bonita-Promissão
314,0-2000-0-86840,LINS,N,,Pane,Automatica,-21.66611111,0-76-0-3527108000000105, 07,460.65,SP,INMET,A727,-49.73472221,2006-09-19T21:00:00.000-03:00,POINT (-49.73472221 -21.66611111),Barra Bonita-Promissão
504,0-2000-0-86845,SAO CARLOS,N,,Operante,Automatica,-21.980353,0-76-0-3548906000000104, 07,859.29,SP,INMET,A711,-47.883927,2006-09-03T21:00:00.000-03:00,POINT (-47.883927 -21.980353),Barra Bonita-Promissão
5,0-2000-0-86716,AGUAS EMENDADAS,,,Operante,Automatica,-15.596491,0-76-0-5300108000000435, 10,1030.36,DF,INMET,A045,-47.625801,2008-10-02T21:00:00.000-03:00,POINT (-47.625801 -15.596491),São Simão
38,0-2000-0-86796,ARAXA,N,,Operante,Automatica,-19.605696,0-76-0-3104007000000037, 05,1018.32,MG,INMET,A505,-46.949617,2002-12-18T22:00:00.000-02:00,POINT (-46.949617 -19.605696),São Simão
83,0-2000-0-86715,BRASILIA,N,,Operante,Automatica,-15.78944444,0-76-0-5300108000000001, 10,1160.96,DF,INMET,A001,-47.92583332,2000-05-06T21:00:00.000-03:00,POINT (-47.92583332 -15.78944444),São Simão
142,0-2000-0-86777,CATALAO,N,,Operante,Automatica,-18.154779,0-76-0-5205109000000286, 10,900.72,GO,INMET,A034,-47.927614,2008-01-30T21:00:00.000-03:00,POINT (-47.927614 -18.154779),São Simão
169,0-2000-0-86727,CRISTALINA (FAZENDA SANTA MONICA),N,,Operante,Automatica,-16.39944444,0-76-0-5206206000000570, 10,932,GO,INMET,A056,-47.62583332,2018-01-24T21:00:00.000-03:00,POINT (-47.62583332 -16.39944444),São Simão
199,0-2000-0-86754,EDEIA,N,,Operante,Automatica,-17.33694444,0-76-0-5207402000000556, 10,608,GO,INMET,A029,-49.91472222,2017-08-25T21:00:00.000-03:00,POINT (-49.91472222 -17.33694444),São Simão
223,0-2000-0-86717,GAMA (PONTE ALTA),N,,Operante,Automatica,-15.93527777,0-76-0-5300108000000496, 10,990,DF,INMET,A046,-48.13749999,2014-09-30T21:00:00.000-03:00,POINT (-48.13749999 -15.93527777),São Simão
229,0-2000-0-86734,GOIANIA,N,,Operante,Automatica,-16.642841,0-76-0-5208707000000007, 10,727.3,GO,INMET,A002,-49.220222,2001-05-28T21:00:00.000-03:00,POINT (-49.220222 -16.642841),São Simão
280,0-2000-0-86775,ITUIUTABA,N,,Operante,Automatica,-18.95277777,0-76-0-3134202000000076, 05,540.08,MG,INMET,A512,-49.52499999,2006-05-11T21:00:00.000-03:00,POINT (-49.52499999 -18.95277777),São Simão
281,0-2000-0-86774,ITUMBIARA,N,,Operante,Automatica,-18.40972222,0-76-0-5211503000000261, 10,491.17,GO,INMET,A035,-49.19194444,2007-10-31T21:00:00.000-03:00,POINT (-49.19194444 -18.40972222),São Simão
316,0-2000-0-86736,LUZIANIA,N,,Operante,Automatica,-16.26055555,0-76-0-5212501000000120, 10,1000.82,GO,INMET,A012,-47.96694443,2006-10-20T21:00:00.000-03:00,POINT (-47.96694443 -16.26055555),São Simão
355,0-2000-0-86755,MORRINHOS,N,,Operante,Automatica,-17.745066,0-76-0-5213806000000006, 10,751.09,GO,INMET,A003,-49.101698,2001-05-24T21:00:00.000-03:00,POINT (-49.101698 -17.745066),São Simão
