,2650035,2751028,2751029,2751031,2751039,2751040,2751041,2851061
2001-08-01,,,0.0,,,,,0.0
2001-08-02,,,0.0,,,,,0.0
2001-08-03,,,0.0,0.0,,,,0.0
2001-08-04,,,0.2,,,,,0.0
2001-08-05,,,0.0,,,,,0.0
2001-08-06,,,0.0,0.0,,,,0.0
2001-08-07,,,0.0,0.0,,,,0.0
2001-08-08,,,0.0,0.0,,,,0.0
2001-08-09,,,0.0,0.0,,,,14.6
2001-08-10,,,0.0,0.0,,,,0.0
2001-08-11,,,0.0,,,,,0.2
2001-08-12,,,0.0,,,,,0.0
2001-08-13,,,,,,,,
2001-08-14,,,0.0,0.0,,,,0.0
2001-08-15,,,0.0,,,,,0.0
2001-08-16,,,0.0,0.0,,,,0.0
2001-08-17,,,0.0,4.0,,,,0.0
2001-08-18,,,0.0,40.2,,,,0.0
2001-08-19,,,0.0,1.2,,,,0.0
2001-08-20,,,20.9697,0.0,,,,0.2
2001-08-21,,,0.0,0.0,,,,0.2
2001-08-22,,,0.0,0.0,,,,0.0
2001-08-23,,,0.0,0.0,,,,0.0
2001-08-24,,,0.0,0.0,,,,0.0
2001-08-25,,,0.0,0.0,,,,0.0
2001-08-26,,,0.0,0.0,,,,0.0
2001-08-27,,,0.0,10.8,,,,17.6
2001-08-28,,,0.2,2.4,,,,0.4
2001-08-29,,,0.4,10.2,,,,16.6
2001-08-30,,,0.0,0.0,,,,0.0
2001-08-31,,,0.0,,,,,
2001-09-01,,,,,,,,
2001-09-02,,,,,,,,
2001-09-03,,,,,,,,
2001-09-04,,,,,,,,
2001-09-05,,,,,,,,
2001-09-06,,,,,,,,
2001-09-07,,,,,,,,
2001-09-08,,,,,,,,
2001-09-09,,,,,,,,0.0
2001-09-10,,,,,,,,0.0
2001-09-11,,,0.0,,,,,0.0
2001-09-12,,,0.0,,,,,0.0
2001-09-13,,,1.6,,,,,
2001-09-14,,,4.8,,,,,0.0
2001-09-15,,,0.0,,,,,0.0
2001-09-16,,,0.0,,,,,
2001-09-17,,,0.0,,,,,
2001-09-18,,,0.0,,,,,0.0
2001-09-19,,,0.0,,,,,0.0
2001-09-20,,,0.0,,,,,0.0
2001-09-21,,,0.0,,,,,0.0
2001-09-22,,,6.0,,,,,0.0
2001-09-23,,,29.8,,,,,0.0
2001-09-24,,,0.2,,,,,0.0
2001-09-25,,,1.8,,,,,0.0
2001-09-26,,,0.2,,,,,0.0
2001-09-27,,,0.0,,,,,0.0
2001-09-28,,,40.864,,,,,0.0
2001-09-29,,,0.2,,,,,0.0
2001-09-30,,,29.0,,,,,0.0
2001-10-01,54.6,46.8,43.6,,,,,29.6
2001-10-02,0.0,,10.8,1.4,,,,37.4
2001-10-03,0.0,1.4,0.4,28.8,,,,0.0
2001-10-04,0.0,0.2,0.0,0.0,,,,2.2
2001-10-05,0.0,0.0,0.0,0.2,,,,62.4
2001-10-06,0.0,0.0,0.0,0.0,,,,4.0
2001-10-07,38.8,4.0,42.4,19.8,,,,37.4
2001-10-08,32.0,0.0,58.6,46.2,,,,0.0
2001-10-09,0.0,15.2,12.4,4.0,,,,
2001-10-10,0.0,0.4,0.0,0.2,,,,0.0
2001-10-11,0.0,0.0,0.0,0.2,,,,0.0
2001-10-12,0.0,0.0,0.0,0.0,,,,0.0
2001-10-13,0.0,2.2,0.0,0.0,,,,0.0
2001-10-14,2.0,7.0,1.0,0.0,,,,0.0
2001-10-15,0.2,14.6,0.0,0.0,,,,0.0
2001-10-16,9.4,29.2,22.0,,,,,
2001-10-17,24.0,0.0,0.0,57.6,,,,1.2
2001-10-18,0.0,1.0,0.0,1.4,,,,0.0
2001-10-19,2.2,18.8,26.4,0.0,,,,0.0
2001-10-20,0.2,19.0,0.2,0.0,,,,0.0
2001-10-21,6.4,6.2,8.0,3.8,,,,23.6
2001-10-22,7.8,0.2,8.0,3.6,,,,0.2
2001-10-23,0.0,0.0,0.0,0.0,,,,0.0
2001-10-24,0.0,0.0,0.0,0.0,,,,0.0
2001-10-25,0.0,0.0,0.0,0.0,,,,0.0
2001-10-26,0.0,0.0,0.0,0.0,,,,0.0
2001-10-27,0.0,0.0,0.0,0.0,,,,0.0
2001-10-28,0.0,0.0,0.0,0.0,,,,0.0
2001-10-29,0.0,0.0,0.0,0.4,,,,5.6
2001-10-30,0.0,0.0,0.0,0.0,,,,0.0
2001-10-31,0.0,0.0,0.0,0.0,,,,0.0
2001-11-01,0.0,0.0,0.0,0.0,,,,0.0
2001-11-02,0.0,0.0,0.0,0.0,,,,0.0
2001-11-03,0.0,0.0,0.0,0.0,,,,0.0
2001-11-04,0.0,0.6,1.6,0.0,,,,17.4
2001-11-05,0.0,0.6,0.2,0.0,,,,0.0
2001-11-06,0.0,0.0,0.0,0.0,,,,0.0
2001-11-07,15.2,0.0,0.0,0.0,,,,6.8
2001-11-08,0.0,0.0,34.8,0.0,,,,0.0
2001-11-09,0.0,0.0,0.0,2.4,,,,0.0
2001-11-10,16.2,29.4,0.0,52.6,,,,26.2
2001-11-11,26.4,53.4,67.8,14.8,,,,5.0
2001-11-12,0.0,0.4,1.4,0.0,,,,0.0
2001-11-13,0.4,0.4,0.0,3.4,,,,22.8
2001-11-14,17.4,0.0,0.2,4.0,,,,0.2
2001-11-15,6.4,0.0,0.4,0.0,,,,0.4
2001-11-16,3.2,0.0,0.0,0.0,,,,0.0
2001-11-17,0.0,0.0,0.0,0.0,,,,0.0
2001-11-18,0.0,0.0,0.0,0.0,,,,0.0
2001-11-19,0.0,0.0,0.0,0.0,,,,0.0
2001-11-20,0.0,0.0,0.0,0.0,,,,0.0
2001-11-21,1.6,0.0,0.6,0.6,,,,15.0
2001-11-22,8.0,0.8,0.6,0.0,,,,0.0
2001-11-23,0.0,0.6,0.0,0.0,,,,0.0
2001-11-24,0.0,0.0,0.0,0.0,,,,3.4
2001-11-25,0.4,0.0,0.0,0.0,,,,2.2
2001-11-26,0.0,0.0,1.6,0.0,,,,38.0
2001-11-27,16.2,15.8,23.0,2.2,,,,1.8
2001-11-28,34.8,9.8,1.6,8.2,,,,31.0
2001-11-29,10.8,0.4,3.4,29.4,,,,1.8
2001-11-30,9.8,26.0,16.8,3.0,,,,0.2
2001-12-01,0.0,0.8,0.4,1.6,,,,1.2
2001-12-02,0.0,0.0,0.2,0.2,,,,0.0
2001-12-03,0.0,0.2,0.0,0.0,,,,0.0
2001-12-04,8.6,19.4,12.8,15.6,,,,6.6
2001-12-05,14.4,25.0,7.0,26.4,,,,16.2
2001-12-06,0.2,22.6,0.0,0.0,,,,0.2
2001-12-07,0.0,0.0,0.0,0.2,,,,0.0
2001-12-08,0.0,0.0,0.0,0.0,,,,0.0
2001-12-09,0.0,0.0,0.0,0.0,,,,0.0
2001-12-10,1.0,0.0,0.0,0.0,,,,0.0
2001-12-11,23.4,0.0,0.0,14.2,,,,11.4
