data,A845,A859,A860,A841,A844,A815,A880
2007-03-03,,,,,46.0,,
2007-03-04,,,,,0.0,,
2007-03-05,,,,,0.0,,
2007-03-06,,,,,0.6,,
2007-03-07,,,,,31.6,,
2007-03-08,,,,,0.0,,
2007-03-09,,,,,0.0,,
2007-03-10,,,,,11.0,,
2007-03-11,,,,,9.6,,
2007-03-12,,,,,0.0,,
2007-03-13,,,,,,,
2007-03-14,,,,,0.0,,
2007-03-15,,,,,0.0,,
2007-03-16,,,,,2.0,,
2007-03-17,,,,,2.0,,
2007-03-18,,,,,34.4,,
2007-03-19,,,,,1.8,,
2007-03-20,,,,,1.6,,
2007-03-21,,,,,5.2,,
2007-03-22,,,,,0.0,,
2007-03-23,,,,,0.0,,
2007-03-24,,,,,0.0,,
2007-03-25,,,,,0.0,,
2007-03-26,,,,,15.0,,
2007-03-27,,,,,1.8,,
2007-03-28,,,,,0.0,,
2007-03-29,,,,,0.0,,
2007-03-30,,,,,0.0,,
2007-03-31,,,,,4.0,,
2007-04-01,,,,,3.4,,
2007-04-02,,,,,0.0,,
2007-04-03,,,,,0.0,,
2007-04-04,,,,,5.4,,
2007-04-05,,,,,0.0,,
2007-04-06,,,,,3.0,,
2007-04-07,,,,,0.0,,
2007-04-08,,,,,13.0,,
2007-04-09,,,,,1.4,,
2007-04-10,,,,,0.2,,
2007-04-11,,,,,0.0,,
2007-04-12,,,,,10.0,,
2007-04-13,,,,,1.2,,
2007-04-14,,,,,0.0,,
2007-04-15,,,,,19.8,,
2007-04-16,,,,,5.2,,
2007-04-17,,,,,0.0,,
2007-04-18,,,,,0.0,,
2007-04-19,,,,,0.0,,
2007-04-20,,,,,0.0,,
2007-04-21,,,,,0.0,,
2007-04-22,,,,,0.0,,
2007-04-23,,,,,0.0,,
2007-04-24,,,,,0.0,,
2007-04-25,,,,,9.0,,
2007-04-26,,,,,34.4,,
2007-04-27,,,,,1.0,,
2007-04-28,,,,,0.0,,
2007-04-30,,,,,0.0,,
2007-05-01,,,,,0.0,,
2007-05-02,,,,,0.0,,
2007-05-03,,,,,19.4,,
2007-05-04,,,,,0.0,,
2007-05-05,,,,,0.0,,
2007-05-06,,,,,0.0,,
2007-05-07,,,,,,,
2007-05-08,,,,,29.0,,
2007-05-09,,,,,0.0,,
2007-05-10,,,,,0.0,,
2007-05-11,,,,,0.0,,
2007-05-12,,,,,0.2,,
2007-05-13,,,,,0.4,,
2007-05-14,,,,,35.8,,
2007-05-15,,,,,0.8,,
2007-05-16,,,,,0.0,,
2007-05-17,,,,,39.2,,
2007-05-18,,,,,10.4,,
2007-05-19,,,,,0.2,,
2007-05-20,,,,,0.0,,
2007-05-21,,,,,27.4,,
2007-05-22,,,,,9.4,,
2007-05-23,,,,,9.6,,
2007-05-24,,,,,0.0,,
2007-05-25,,,,,0.0,,
2007-05-26,,,,,0.0,,
2007-05-27,,,,,0.0,,
2007-05-28,,,,,0.0,,
2007-05-29,,,,,0.0,,
2007-05-30,,,,,0.0,,
2007-05-31,,,,,0.2,,
2007-06-01,,,,,0.0,,
2007-06-02,,,,,20.0,,
2007-06-03,,,,,0.0,,
2007-06-04,,,,,0.0,,
2007-06-05,,,,,0.0,,
2007-06-06,,,,,0.0,,
2007-06-07,,,,,0.0,,
2007-06-08,,,,,2.8,,
2007-06-09,,,,,0.0,,
2007-06-10,,,,,0.0,,
2007-06-11,,,,,0.0,,
2007-06-12,,,,,0.0,,
2007-06-13,,,,,0.0,,
2007-06-14,,,,,0.0,,
2007-06-15,,,,,0.0,,
2007-06-16,,,,,11.6,,
2007-06-17,,,,,0.0,,
2007-06-18,,,,,2.6,,
2007-06-19,,,,,1.2,,
2007-06-20,,,,,0.0,,
2007-06-21,,,,,0.0,,
2007-06-22,,,,,0.0,,
2007-06-23,,,,,0.0,,
2007-06-24,,,,,5.8,,
2007-06-25,,,,,0.0,,
2007-06-26,,,,,5.4,,
2007-06-27,,,,,10.0,,
2007-06-28,,,,,0.4,,
2007-06-29,,,,,0.0,,
2007-06-30,,,,,0.4,,
2007-07-01,0.0,,,,0.6,,
2007-07-02,0.0,,,,0.0,,
2007-07-03,0.0,,,,0.0,,
2007-07-04,0.0,,,,0.0,,
2007-07-05,0.0,,,,0.0,,
2007-07-06,1.8,,,,0.0,,
2007-07-07,0.0,,,,0.2,,
2007-07-08,0.0,,,,22.2,,
2007-07-09,63.6,,,,39.8,,
2007-07-10,39.4,,,,,,
2007-07-11,0.2,,,,7.4,,
2007-07-13,20.6,,,,5.0,,
2007-07-14,10.0,,,,16.8,,
2007-07-15,0.2,,,,0.0,,
2007-07-16,0.0,,,,0.0,,
2007-07-17,1.8,,,,0.0,,
2007-07-18,10.6,,,,7.2,,
2007-07-19,1.6,,,,0.6,,
2007-07-20,0.0,,,,0.2,,
2007-07-21,0.0,,,,0.0,,
2007-07-22,14.6,,,,34.6,,
2007-07-23,24.0,,,,43.0,,
2007-07-24,0.0,,,,0.0,,
2007-07-25,5.4,,,,0.0,,
2007-07-26,0.0,,,,0.0,,
2007-07-27,0.0,,,,0.0,,
2007-07-28,0.0,,,,0.0,,
2007-07-29,0.0,,,,0.0,,
2007-07-30,0.2,,,,0.0,,
2007-07-31,0.2,,,,0.0,,
2007-08-01,0.0,,,,0.0,,
2007-08-02,0.2,,,,6.6,,
2007-08-03,31.4,,,,,,
2007-08-04,0.4,,,,0.0,,
2007-08-05,0.8,,,,3.8,,
2007-08-06,1.0,,,,0.0,,
2007-08-07,3.2,,,,8.4,,
2007-08-08,0.2,,,,0.2,,
2007-08-09,0.0,,,,0.0,,
2007-08-10,2.8,,,,0.0,,
2007-08-11,3.0,,,,2.6,,
2007-08-12,0.0,,,,0.0,,
2007-08-13,1.6,,,,0.0,,
2007-08-14,0.6,,,,0.0,,
2007-08-15,0.8,,,,0.0,,
2007-08-16,0.0,,,,0.0,,
2007-08-17,0.0,,,,0.0,,
2007-08-18,0.0,,,,0.0,,
2007-08-19,0.0,,,,0.0,,
2007-08-20,0.0,,,,5.4,,
2007-08-21,0.0,,,,0.2,,
2007-08-22,0.0,,,,0.0,,
2007-08-23,0.0,,,,0.0,,
2007-08-24,0.0,,,,0.0,,
2007-08-25,0.0,,,,0.0,,
2007-08-26,0.0,,,,19.4,,
2007-08-27,0.0,,,,10.0,,
2007-08-28,0.0,,,,0.2,,
2007-08-29,0.0,,,,0.0,,
2007-08-30,0.0,,,,0.0,,
2007-08-31,0.0,,,,11.6,,
2007-09-01,0.0,,,,2.2,,
2007-09-02,0.0,,,,10.6,,
2007-09-03,0.0,,,,0.0,,
2007-09-04,0.0,,,,0.0,,
2007-09-05,0.0,,,,0.0,,
2007-09-06,0.0,,,,0.0,,
2007-09-07,0.0,,,,0.0,,
2007-09-08,0.0,,,,0.0,,
2007-09-09,0.0,,,,0.0,,
2007-09-10,0.0,,,,0.0,,
2007-09-11,0.0,,,,0.0,,
2007-09-12,0.0,,,,0.0,,
2007-09-13,0.0,,,,0.0,,
2007-09-14,0.0,,,,0.0,,
2007-09-15,0.0,,,,0.2,,
2007-09-16,0.0,,,,0.0,,
2007-09-17,0.0,,,,0.2,,
2007-09-18,0.0,,,,2.6,,
2007-09-19,0.0,,,,25.4,,
2007-09-20,0.0,,,,0.0,,
2007-09-21,0.0,,,,34.6,,
2007-09-22,0.0,,,,31.6,,
2007-09-23,0.0,,,,,,
2007-09-24,0.0,,,,39.8,,
2007-09-25,0.0,,,,0.2,,
2007-09-26,0.0,,,,0.0,,
2007-09-27,0.0,,,,9.6,,
2007-09-28,0.0,,,,0.6,,
2007-09-29,0.0,,,,0.2,,
2007-09-30,0.0,,,,0.0,,
2007-10-01,0.0,,,,0.0,,
2007-10-02,0.0,,,,0.0,,
2007-10-03,0.0,,,,0.0,,
2007-10-04,0.0,,,,9.8,,
2007-10-05,0.0,,,,5.0,,
2007-10-06,0.0,,,,0.0,,
2007-10-07,0.0,,,,1.2,,
2007-10-08,0.0,,,,7.6,,
2007-10-09,0.0,,,,0.0,,
2007-10-10,0.0,,,,0.2,,
2007-10-11,0.0,,,,7.0,,
2007-10-12,0.0,,,,16.8,,
2007-10-13,0.0,,,,23.8,,
2007-10-14,0.0,,,,0.0,,
2007-10-15,0.0,,,,30.4,,
2007-10-16,0.0,,,,32.8,,
2007-10-17,0.0,,,,5.0,,
2007-10-18,0.0,,,,0.0,,
2007-10-19,0.0,,,,0.0,,
2007-10-20,0.0,,,,0.0,,
2007-10-21,0.0,,,,3.0,,
2007-10-22,0.0,,,,0.0,,
2007-10-23,0.0,,,,0.0,,
2007-10-24,0.0,,,,0.0,,
2007-10-25,0.0,,,,0.0,,
2007-10-26,0.0,,,,0.0,,
2007-10-27,0.0,,,,0.0,,
2007-10-28,0.0,,,,0.0,,
2007-10-29,0.0,,,,8.0,,
2007-10-30,0.0,,,,3.6,,
2007-10-31,0.0,,,,9.0,,
2007-11-01,0.0,,,,29.4,,
2007-11-02,0.0,,,,27.4,,
2007-11-03,0.0,,,16.4,9.2,,
2007-11-04,0.0,,,0.0,0.0,,
2007-11-05,0.0,,,0.0,0.0,,
2007-11-06,0.0,,,0.0,0.0,,
2007-11-07,0.0,,,0.0,0.0,,
2007-11-08,0.0,,,0.0,0.0,,
2007-11-09,0.0,,,14.8,2.2,,
2007-11-10,0.0,,,16.0,11.0,,
2007-11-11,0.0,,,20.0,9.2,,
2007-11-12,0.0,,,0.0,0.0,,
2007-11-18,0.0,,,0.0,0.0,,
2007-11-19,0.0,,,8.6,13.8,,
2007-11-20,0.0,,,0.0,0.0,,
2007-11-21,0.0,,,0.0,0.0,,
2007-11-22,0.0,,,0.0,0.0,,
2007-11-23,0.0,,,0.0,0.0,,
2007-11-24,0.0,,,0.0,2.8,,
2007-11-25,0.0,,,4.4,22.0,,
2007-11-26,0.0,,,0.0,3.0,,
2007-11-27,0.0,,,0.0,0.0,,
2007-11-28,0.0,,,0.0,0.0,,
2007-11-29,0.0,,,0.0,0.0,,
2007-11-30,0.0,,,0.0,0.0,,
2007-12-01,0.0,,,0.0,0.0,,
2007-12-02,0.0,,,0.0,0.0,,
2007-12-03,0.0,,,0.0,0.0,,
2007-12-04,0.0,,,0.0,0.0,,
2007-12-05,0.0,,,8.4,29.4,,
2007-12-06,0.0,,,53.0,7.6,,
2007-12-07,0.0,,,1.6,0.0,,
2007-12-08,0.0,,,0.0,0.0,,
2007-12-09,0.0,,,0.0,0.0,,
2007-12-10,0.0,,,0.0,0.0,,
2007-12-11,0.0,,,38.4,37.4,,
2007-12-12,0.0,,,0.2,0.0,,
2007-12-13,0.0,,,0.0,0.0,,
2007-12-14,0.0,,,0.0,0.0,,
2007-12-15,0.0,,,0.0,0.0,,
2007-12-16,0.0,,,0.0,0.0,,
2007-12-17,0.0,,,0.0,0.0,,
2007-12-18,0.0,,,0.0,1.8,,
2007-12-19,0.0,,,15.2,4.8,,
2007-12-20,5.4,,,0.0,0.0,,
2007-12-21,2.2,,,0.0,0.0,,
2007-12-22,1.6,,,0.0,0.0,,
2007-12-23,0.0,,,0.0,0.0,,
2007-12-24,0.2,,,0.2,0.0,,
2007-12-25,18.6,,,0.0,14.0,,
2007-12-26,10.4,,,2.4,15.2,,
2007-12-27,0.6,,,0.0,8.2,,
2007-12-28,16.8,,,5.4,0.0,,
2007-12-29,3.2,,,1.4,0.8,,
2007-12-30,2.6,,,5.6,19.2,,
2007-12-31,12.0,,,1.4,12.0,,
2008-01-01,0.0,,,0.0,0.0,,
2008-01-02,0.2,,,15.8,9.0,,
2008-01-03,8.6,,,0.0,0.0,,
2008-01-04,23.2,,,19.6,6.8,,
2008-01-05,24.0,,,24.8,20.2,,
2008-01-06,4.2,,,0.0,0.0,,
2008-01-07,17.0,,,1.2,0.0,,
2008-01-08,0.2,,,0.0,0.0,,
2008-01-09,0.4,,,0.0,0.0,,
2008-01-10,0.4,,,0.0,0.0,,
2008-01-11,0.6,,,0.0,0.0,,
2008-01-12,32.4,,,2.0,2.0,,
2008-01-13,17.4,,,0.0,0.0,,
2008-01-14,1.6,,,0.0,0.6,,
2008-01-15,11.4,,,0.0,0.0,,
2008-01-16,11.2,,,0.0,0.0,,
2008-01-17,0.8,,,2.8,7.8,,
2008-01-18,10.6,,,0.4,0.8,,
2008-01-19,3.8,,,30.6,33.8,,
2008-01-20,18.0,,,24.4,0.2,,
2008-01-21,25.0,,,0.0,0.0,,
2008-01-22,6.2,,,0.0,0.0,,
2008-01-23,12.8,,,0.0,0.0,,
2008-01-24,9.8,,,0.0,0.0,,
2008-01-25,14.4,,,0.0,0.0,,
2008-01-26,19.8,,,0.0,0.0,,
2008-01-27,23.2,,,0.0,0.0,,
2008-01-28,0.6,,,0.0,0.0,,
2008-01-29,6.2,,,0.0,0.0,,
2008-01-30,19.8,,,0.0,4.4,,
2008-01-31,16.2,,,41.2,1.2,,
2008-02-01,,,,2.2,2.4,,
2008-02-02,19.2,,,9.6,0.4,,
2008-02-03,1.2,,,1.0,1.8,,
2008-02-04,2.0,,,0.0,2.4,,
2008-02-05,0.4,,,0.0,0.0,,
2008-02-06,0.0,,,0.0,0.0,,
2008-02-07,0.4,,,0.0,0.0,,
2008-02-08,3.0,,,0.0,0.0,,
2008-02-09,1.0,,,0.0,0.0,,
2008-02-10,1.6,,,1.4,13.2,,
2008-02-11,18.8,,,1.6,15.8,,
2008-02-12,44.2,,,9.8,5.4,,
2008-02-13,5.8,,,0.0,0.2,,
2008-02-14,0.2,,,0.0,0.0,,
2008-02-15,0.4,,,0.0,0.0,,
2008-02-16,1.0,,,0.8,0.0,,
2008-02-17,12.4,,,8.8,0.0,,
2008-02-18,3.2,,,10.0,0.0,,
2008-02-19,0.6,,,0.0,0.0,,
2008-02-20,0.4,,,8.2,0.0,,
2008-02-21,14.8,,,2.8,0.4,,
2008-02-22,0.8,,,0.0,0.0,,
2008-02-23,1.4,,,0.0,0.0,,
2008-02-24,8.6,,,3.8,0.0,,
2008-02-25,3.6,,,0.0,0.0,,
2008-02-26,24.6,,,0.0,0.0,,
2008-02-27,14.2,,,0.0,0.0,,
2008-02-28,9.4,,,0.8,0.0,,
2008-02-29,4.6,,,10.6,24.0,,
2008-03-01,46.6,,14.6,20.0,12.0,,
2008-03-02,7.8,,0.6,18.6,13.2,,
2008-03-03,1.0,,28.6,6.4,26.8,,
2008-03-04,9.0,,2.6,0.0,11.8,,
2008-03-05,0.0,,0.0,0.0,0.8,,
2008-03-06,0.2,,0.0,0.0,0.0,,
2008-03-07,0.2,,0.0,0.0,0.0,,
2008-03-08,1.6,,0.0,0.0,0.0,,
2008-03-09,7.2,,0.0,0.0,0.0,,
2008-03-10,0.0,,0.0,0.0,0.0,,
2008-03-11,0.2,,5.8,8.0,0.0,,
2008-03-12,61.8,,0.8,1.2,0.0,,
2008-03-13,20.8,,14.0,1.0,13.6,,
2008-03-14,14.0,,0.0,0.0,0.0,,
